step,time_s,throttle,slope,regen,ambient_temp,trip_type
76,7.6,95.45,-0.00752,0.0,35.7,0
77,7.7,90.92,-0.00918,0.0,35.67,0
78,7.8,96.15,-0.00876,0.0,35.73,0
79,7.9,69.48,-0.00752,0.0,35.65,0
80,8.0,64.54,-0.0075,0.0,35.76,0
81,8.1,51.89,-0.00597,0.0,35.7,0
82,8.2,45.03,-0.00628,0.0,35.76,0
83,8.3,38.23,-0.0071,0.0,35.82,0
84,8.4,0.0,-0.00334,0.5,35.73,0
85,8.5,0.0,-0.00378,0.5,35.67,0
86,8.6,0.0,-0.00508,0.5,35.63,0
87,8.7,0.0,-0.00437,0.5,35.65,0
88,8.8,0.0,-0.00154,0.5,35.59,0
89,8.9,0.0,-0.00081,0.5,35.58,0
90,9.0,0.0,-0.00039,0.5,35.52,0
91,9.1,48.61,-0.00112,0.0,35.6,0
92,9.2,68.08,-0.00343,0.0,35.63,0
93,9.3,100.0,-0.00476,0.0,35.71,0
94,9.4,88.61,-0.00327,0.0,35.66,0
95,9.5,91.82,-0.00368,0.0,35.52,0
96,9.6,86.58,-0.00299,0.0,35.58,0
97,9.7,64.15,-0.00204,0.0,35.62,0
98,9.8,71.12,-0.00411,0.0,35.6,0
99,9.9,6.7,-0.00503,0.5,35.76,0
100,10.0,0.0,-0.00746,0.5,35.67,0
101,10.1,12.58,-0.00569,0.0,35.75,0
102,10.2,0.0,-0.00732,0.5,35.74,0
103,10.3,0.0,-0.00814,0.5,35.78,0
104,10.4,15.9,-0.0105,0.0,35.83,0
105,10.5,49.23,-0.01006,0.0,35.89,0
106,10.6,100.0,-0.00837,0.0,35.74,0
107,10.7,100.0,-0.00949,0.0,35.72,0
108,10.8,100.0,-0.00931,0.0,35.66,0
109,10.9,100.0,-0.0086,0.0,35.63,0
110,11.0,100.0,-0.00916,0.0,35.67,0
111,11.1,100.0,-0.00897,0.0,35.69,0
112,11.2,100.0,-0.00954,0.0,35.69,0
113,11.3,100.0,-0.00849,0.0,35.69,0
114,11.4,65.42,-0.00977,0.0,35.68,0
115,11.5,35.34,-0.00715,0.0,35.76,0
116,11.6,14.88,-0.0055,0.0,35.66,0
117,11.7,0.0,-0.00455,0.5,35.66,0
118,11.8,0.0,-0.00821,0.5,35.72,0
119,11.9,0.0,-0.00953,0.5,35.67,0
120,12.0,0.0,-0.00781,0.5,35.48,0
121,12.1,10.53,-0.00529,0.0,35.52,0
122,12.2,30.81,-0.00667,0.0,35.51,0
123,12.3,0.0,-0.00666,0.5,35.42,0
124,12.4,4.43,-0.0052,0.5,35.41,0
125,12.5,9.4,-0.00662,0.5,35.42,0
126,12.6,16.12,-0.00749,0.0,35.36,0
127,12.7,25.65,-0.00705,0.0,35.35,0
128,12.8,29.5,-0.0072,0.0,35.39,0
129,12.9,0.0,-0.01045,0.5,35.35,0
130,13.0,0.0,-0.00989,0.5,35.33,0
131,13.1,0.0,-0.01015,0.5,35.23,0
132,13.2,0.0,-0.00862,0.5,35.24,0
133,13.3,0.0,-0.00781,0.5,35.17,0
134,13.4,0.0,-0.00792,0.5,35.11,0
135,13.5,0.0,-0.00559,0.5,35.08,0
136,13.6,72.11,-0.00729,0.0,34.99,0
137,13.7,49.01,-0.00555,0.0,35.05,0
138,13.8,45.08,-0.00452,0.0,34.96,0
139,13.9,63.96,-0.005,0.0,34.96,0
140,14.0,52.98,-0.00494,0.0,34.88,0
141,14.1,51.36,-0.00553,0.0,34.86,0
142,14.2,73.72,-0.00484,0.0,34.89,0
143,14.3,100.0,-0.00585,0.0,34.91,0
144,14.4,59.53,-0.00634,0.0,34.95,0
145,14.5,3.15,-0.00767,0.5,35.01,0
146,14.6,0.0,-0.00701,0.5,34.91,0
147,14.7,0.0,-0.0046,0.5,34.86,0
148,14.8,0.0,-0.00418,0.5,34.85,0
149,14.9,0.0,-0.00453,0.5,34.85,0
150,15.0,19.77,-0.00292,0.0,34.88,0
151,15.1,100.0,-0.00301,0.0,34.82,0
152,15.2,95.32,-0.00169,0.0,34.83,0
153,15.3,84.48,-0.00251,0.0,34.77,0
154,15.4,79.09,-0.00253,0.0,34.75,0
155,15.5,96.23,-0.00244,0.0,34.71,0
156,15.6,100.0,-0.00171,0.0,34.66,0
157,15.7,100.0,-0.00335,0.0,34.62,0
158,15.8,100.0,-0.00147,0.0,34.57,0
159,15.9,73.34,-0.0026,0.0,34.6,0
160,16.0,22.96,-0.00044,0.0,34.66,0
161,16.1,0.0,0.00101,0.5,34.68,0
162,16.2,5.37,0.00384,0.5,34.7,0
163,16.3,0.0,0.00458,0.5,34.59,0
164,16.4,0.0,0.00368,0.5,34.73,0
165,16.5,0.0,0.00321,0.5,34.82,0
166,16.6,63.4,0.00082,0.0,34.78,0
167,16.7,85.0,0.00106,0.0,34.66,0
168,16.8,72.38,0.0012,0.0,34.64,0
169,16.9,64.61,0.00392,0.0,34.68,0
170,17.0,57.87,0.00569,0.0,34.63,0
171,17.1,65.11,0.00478,0.0,34.71,0
172,17.2,61.1,0.00588,0.0,34.73,0
173,17.3,55.43,0.00574,0.0,34.77,0
174,17.4,17.24,0.00574,0.0,34.8,0
175,17.5,0.0,0.00477,0.5,34.83,0
176,17.6,0.0,0.00524,0.5,34.73,0
177,17.7,0.0,0.00449,0.5,34.73,0
178,17.8,0.0,0.00522,0.5,34.83,0
179,17.9,0.0,0.00661,0.5,34.84,0
180,18.0,0.0,0.00562,0.5,34.88,0
181,18.1,71.42,0.00596,0.0,34.95,0
182,18.2,68.79,0.00613,0.0,34.82,0
183,18.3,100.0,0.0066,0.0,34.81,0
184,18.4,100.0,0.0074,0.0,34.87,0
185,18.5,100.0,0.0078,0.0,34.95,0
186,18.6,98.78,0.00967,0.0,34.98,0
187,18.7,100.0,0.00919,0.0,34.84,0
188,18.8,100.0,0.00952,0.0,34.74,0
189,18.9,43.32,0.00866,0.0,34.68,0
190,19.0,0.0,0.0086,0.5,34.74,0
191,19.1,0.0,0.00709,0.5,34.71,0
192,19.2,0.0,0.00635,0.5,34.77,0
193,19.3,0.0,0.00623,0.5,34.7,0
194,19.4,10.8,0.00705,0.0,34.75,0
195,19.5,19.07,0.00537,0.0,34.72,0
196,19.6,100.0,0.00458,0.0,34.71,0
197,19.7,100.0,0.00319,0.0,34.74,0
198,19.8,100.0,0.00097,0.0,34.66,0
199,19.9,100.0,-0.00141,0.0,34.65,0
200,20.0,100.0,-0.00063,0.0,34.65,0
201,20.1,89.42,-0.00148,0.0,34.65,0
202,20.2,88.33,4e-05,0.0,34.68,0
203,20.3,59.74,-0.00071,0.0,34.7,0
204,20.4,31.62,-0.00258,0.0,34.71,0
205,20.5,0.0,-0.00186,0.5,34.64,0
206,20.6,0.0,-0.0024,0.5,34.66,0
207,20.7,0.0,-0.00309,0.5,34.59,0
208,20.8,0.0,-0.00385,0.5,34.63,0
209,20.9,0.0,-0.00317,0.5,34.68,0
210,21.0,0.0,-0.00206,0.5,34.69,0
211,21.1,50.01,0.00053,0.0,34.62,0
212,21.2,24.74,0.00021,0.0,34.56,0
213,21.3,39.89,0.00188,0.0,34.56,0
214,21.4,93.82,9e-05,0.0,34.63,0
215,21.5,100.0,0.00064,0.0,34.77,0
216,21.6,100.0,-0.00037,0.0,34.79,0
217,21.7,100.0,-0.00027,0.0,34.78,0
218,21.8,94.8,-0.00046,0.0,34.9,0
219,21.9,40.82,-0.00161,0.0,34.83,0
220,22.0,4.98,-0.00125,0.5,34.8,0
221,22.1,5.58,-0.00093,0.5,34.84,0
222,22.2,10.08,-0.00066,0.0,34.86,0
223,22.3,0.0,0.00219,0.5,34.86,0
224,22.4,0.0,0.0044,0.5,34.8,0
225,22.5,0.0,0.0051,0.5,34.85,0
226,22.6,73.98,0.0036,0.0,34.92,0
227,22.7,89.23,0.00501,0.0,34.99,0
228,22.8,100.0,0.0038,0.0,34.96,0
229,22.9,100.0,0.00477,0.0,34.94,0
230,23.0,100.0,0.00759,0.0,34.96,0
231,23.1,73.4,0.00853,0.0,34.87,0
232,23.2,87.37,0.00852,0.0,34.87,0
233,23.3,46.63,0.00889,0.0,34.91,0
234,23.4,1.34,0.0094,0.5,35.01,0
235,23.5,0.0,0.01084,0.5,35.04,0
236,23.6,0.0,0.01241,0.5,35.05,0
237,23.7,0.0,0.01268,0.5,35.1,0
238,23.8,0.0,0.01055,0.5,35.09,0
239,23.9,0.0,0.01111,0.5,35.16,0
240,24.0,0.0,0.01421,0.5,35.18,0
241,24.1,69.16,0.01421,0.0,35.19,0
242,24.2,95.6,0.01396,0.0,35.3,0
243,24.3,78.04,0.01279,0.0,35.25,0
244,24.4,54.39,0.01247,0.0,35.23,0
245,24.5,75.64,0.00851,0.0,35.25,0
246,24.6,89.38,0.00742,0.0,35.35,0
247,24.7,98.82,0.00803,0.0,35.33,0
248,24.8,100.0,0.00861,0.0,35.47,0
249,24.9,18.22,0.00926,0.0,35.53,0
250,25.0,12.97,0.00867,0.0,35.54,0
251,25.1,11.95,0.01024,0.0,35.43,0
252,25.2,14.75,0.01027,0.0,35.42,0
253,25.3,14.39,0.00905,0.0,35.5,0
254,25.4,9.07,0.01077,0.5,35.52,0
255,25.5,11.44,0.01061,0.0,35.56,0
256,25.6,12.68,0.01148,0.0,35.59,0
257,25.7,14.06,0.01129,0.0,35.49,0
258,25.8,21.8,0.01171,0.0,35.48,0
259,25.9,22.77,0.01331,0.0,35.44,0
260,26.0,25.93,0.01119,0.0,35.42,0
261,26.1,16.44,0.00941,0.0,35.43,0
262,26.2,14.93,0.01139,0.0,35.37,0
263,26.3,18.2,0.01209,0.0,35.42,0
264,26.4,15.61,0.01287,0.0,35.37,0
265,26.5,28.69,0.01132,0.0,35.35,0
266,26.6,28.52,0.01101,0.0,35.32,0
267,26.7,29.41,0.0117,0.0,35.36,0
268,26.8,20.3,0.01204,0.0,35.4,0
269,26.9,19.58,0.01052,0.0,35.44,0
270,27.0,21.7,0.01297,0.0,35.44,0
271,27.1,21.83,0.01446,0.0,35.39,0
272,27.2,17.18,0.01561,0.0,35.28,0
273,27.3,23.74,0.01533,0.0,35.26,0
274,27.4,25.1,0.01475,0.0,35.31,0
275,27.5,39.28,0.01422,0.0,35.37,0
276,27.6,43.6,0.0152,0.0,35.35,0
277,27.7,43.03,0.01117,0.0,35.44,0
278,27.8,49.86,0.00823,0.0,35.48,0
279,27.9,43.41,0.00871,0.0,35.53,0
280,28.0,40.58,0.00965,0.0,35.47,0
281,28.1,40.78,0.01047,0.0,35.39,0
282,28.2,50.03,0.01145,0.0,35.4,0
283,28.3,48.22,0.0117,0.0,35.49,0
284,28.4,50.54,0.01148,0.0,35.45,0
285,28.5,47.04,0.01272,0.0,35.32,0
286,28.6,46.92,0.01387,0.0,35.31,0
287,28.7,41.37,0.01156,0.0,35.35,0
288,28.8,40.84,0.00774,0.0,35.31,0
289,28.9,39.4,0.00808,0.0,35.29,0
290,29.0,52.07,0.00689,0.0,35.34,0
291,29.1,58.63,0.00699,0.0,35.3,0
292,29.2,62.44,0.00729,0.0,35.32,0
293,29.3,59.15,0.00562,0.0,35.3,0
294,29.4,63.76,0.00632,0.0,35.25,0
295,29.5,62.69,0.00488,0.0,35.2,0
296,29.6,63.16,0.0043,0.0,35.13,0
297,29.7,59.09,0.00494,0.0,35.17,0
298,29.8,55.17,0.00442,0.0,35.17,0
299,29.9,59.43,0.00545,0.0,35.16,0
300,30.0,57.6,0.00562,0.0,35.22,0
301,30.1,59.97,0.00589,0.0,35.23,0
302,30.2,59.75,0.00635,0.0,35.2,0
303,30.3,55.68,0.00741,0.0,35.17,0
304,30.4,58.78,0.00558,0.0,35.15,0
305,30.5,60.44,0.00632,0.0,35.28,0
306,30.6,60.98,0.00489,0.0,35.24,0
307,30.7,62.36,0.00512,0.0,35.26,0
308,30.8,52.31,0.00558,0.0,35.33,0
309,30.9,56.14,0.00554,0.0,35.34,0
310,31.0,54.03,0.00465,0.0,35.5,0
311,31.1,51.65,0.00767,0.0,35.46,0
312,31.2,51.73,0.00525,0.0,35.43,0
313,31.3,45.92,0.00565,0.0,35.36,0
314,31.4,41.23,0.00691,0.0,35.29,0
315,31.5,46.33,0.0052,0.0,35.35,0
316,31.6,40.3,0.0037,0.0,35.35,0
317,31.7,36.24,0.00204,0.0,35.34,0
318,31.8,45.83,0.00305,0.0,35.43,0
319,31.9,47.27,0.00227,0.0,35.45,0
320,32.0,51.35,0.00132,0.0,35.51,0
321,32.1,58.43,0.00119,0.0,35.51,0
322,32.2,56.84,0.00158,0.0,35.44,0
323,32.3,64.94,0.00349,0.0,35.51,0
324,32.4,66.42,0.00547,0.0,35.52,0
325,32.5,72.86,0.0063,0.0,35.52,0
326,32.6,71.15,0.00772,0.0,35.49,0
327,32.7,66.18,0.00779,0.0,35.45,0
328,32.8,62.81,0.00807,0.0,35.47,0
329,32.9,70.51,0.00788,0.0,35.46,0
330,33.0,67.36,0.00821,0.0,35.36,0
331,33.1,58.33,0.0084,0.0,35.33,0
332,33.2,56.16,0.00731,0.0,35.25,0
333,33.3,55.99,0.00913,0.0,35.2,0
334,33.4,44.79,0.0095,0.0,35.11,0
335,33.5,41.93,0.00748,0.0,35.12,0
336,33.6,44.15,0.00818,0.0,35.04,0
337,33.7,43.6,0.0077,0.0,34.87,0
338,33.8,45.29,0.00632,0.0,34.79,0
339,33.9,51.4,0.00538,0.0,34.81,0
340,34.0,54.31,0.00572,0.0,34.83,0
341,34.1,60.76,0.00634,0.0,34.74,0
342,34.2,63.19,0.00586,0.0,34.71,0
343,34.3,59.7,0.0051,0.0,34.7,0
344,34.4,74.28,0.00215,0.0,34.76,0
345,34.5,64.26,0.00431,0.0,34.76,0
346,34.6,69.94,0.00178,0.0,34.78,0
347,34.7,72.18,0.00236,0.0,34.81,0
348,34.8,65.83,0.00383,0.0,34.81,0
349,34.9,66.53,0.00362,0.0,34.83,0
350,35.0,70.02,0.00299,0.0,34.78,0
351,35.1,71.32,0.00505,0.0,34.77,0
352,35.2,75.19,0.00648,0.0,34.83,0
353,35.3,70.84,0.00763,0.0,34.86,0
354,35.4,66.62,0.00578,0.0,34.85,0
355,35.5,73.16,0.00501,0.0,34.88,0
356,35.6,68.24,0.00586,0.0,34.97,0
357,35.7,66.55,0.00375,0.0,34.93,0
358,35.8,69.43,0.00432,0.0,34.95,0
359,35.9,74.77,0.00543,0.0,34.92,0
360,36.0,71.91,0.0068,0.0,34.85,0
361,36.1,72.4,0.00515,0.0,34.79,0
362,36.2,72.6,0.00532,0.0,34.75,0
363,36.3,77.38,0.0062,0.0,34.9,0
364,36.4,85.81,0.00419,0.0,34.93,0
365,36.5,86.05,0.0028,0.0,34.93,0
366,36.6,90.15,0.00032,0.0,34.88,0
367,36.7,89.27,-0.00456,0.0,35.08,0
368,36.8,83.43,-0.0026,0.0,34.97,0
369,36.9,92.98,-0.00196,0.0,35.03,0
370,37.0,89.97,-0.0021,0.0,34.96,0
371,37.1,91.22,-0.00302,0.0,35.04,0
372,37.2,86.79,-0.00502,0.0,35.14,0
373,37.3,86.37,-0.00629,0.0,35.18,0
374,37.4,85.15,-0.00836,0.0,35.19,0
375,37.5,77.76,-0.00731,0.0,35.13,0
376,37.6,80.52,-0.00615,0.0,35.14,0
377,37.7,85.04,-0.0075,0.0,35.18,0
378,37.8,79.53,-0.00734,0.0,35.12,0
379,37.9,74.52,-0.00653,0.0,35.21,0
380,38.0,78.34,-0.00889,0.0,35.16,0
381,38.1,86.45,-0.00739,0.0,35.16,0
382,38.2,90.42,-0.00925,0.0,35.14,0
383,38.3,93.19,-0.00881,0.0,35.09,0
384,38.4,94.98,-0.00762,0.0,35.11,0
385,38.5,100.0,-0.00958,0.0,35.08,0
386,38.6,98.48,-0.00831,0.0,35.08,0
387,38.7,100.0,-0.00597,0.0,35.11,0
388,38.8,100.0,-0.00451,0.0,35.06,0
389,38.9,100.0,-0.00532,0.0,34.96,0
390,39.0,100.0,-0.00562,0.0,34.96,0
391,39.1,100.0,-0.00528,0.0,34.95,0
392,39.2,100.0,-0.00588,0.0,35.01,0
393,39.3,100.0,-0.00486,0.0,35.04,0
394,39.4,100.0,-0.00288,0.0,35.1,0
395,39.5,100.0,-0.0011,0.0,35.07,0
396,39.6,100.0,-0.00041,0.0,35.14,0
397,39.7,100.0,0.0026,0.0,35.11,0
398,39.8,100.0,0.00113,0.0,35.11,0
399,39.9,97.25,0.00021,0.0,35.13,0
400,40.0,91.62,0.00253,0.0,35.13,0
401,40.1,96.78,0.00328,0.0,35.14,0
402,40.2,88.15,0.00478,0.0,35.12,0
403,40.3,87.89,0.00429,0.0,35.15,0
404,40.4,79.34,0.00348,0.0,35.14,0
405,40.5,80.02,2e-05,0.0,35.2,0
406,40.6,84.51,-0.0019,0.0,35.22,0
407,40.7,88.33,-0.00083,0.0,35.26,0
408,40.8,88.02,-0.00202,0.0,35.23,0
409,40.9,84.3,-0.00066,0.0,35.22,0
410,41.0,89.59,-0.00202,0.0,35.31,0
411,41.1,92.14,-0.00052,0.0,35.33,0
412,41.2,94.41,0.0006,0.0,35.35,0
413,41.3,93.59,0.00129,0.0,35.29,0
414,41.4,100.0,0.00306,0.0,35.24,0
415,41.5,100.0,0.00445,0.0,35.19,0
416,41.6,100.0,0.00495,0.0,35.22,0
417,41.7,100.0,0.00509,0.0,35.23,0
418,41.8,91.08,0.00542,0.0,35.25,0
419,41.9,94.33,0.00406,0.0,35.28,0
420,42.0,98.08,0.00286,0.0,35.28,0
421,42.1,96.51,-0.00035,0.0,35.25,0
422,42.2,95.99,0.00107,0.0,35.21,0
423,42.3,100.0,-0.00144,0.0,35.27,0
424,42.4,100.0,-0.00175,0.0,35.37,0
425,42.5,100.0,-0.00168,0.0,35.49,0
426,42.6,92.78,-0.00303,0.0,35.45,0
427,42.7,95.24,-0.00319,0.0,35.44,0
428,42.8,100.0,-0.00386,0.0,35.46,0
429,42.9,100.0,-0.00313,0.0,35.44,0
430,43.0,100.0,-0.00523,0.0,35.48,0
431,43.1,100.0,-0.00436,0.0,35.46,0
432,43.2,100.0,-0.00275,0.0,35.47,0
433,43.3,100.0,-0.00434,0.0,35.41,0
434,43.4,100.0,-0.00358,0.0,35.39,0
435,43.5,100.0,-0.0054,0.0,35.42,0
436,43.6,100.0,-0.00425,0.0,35.36,0
437,43.7,100.0,-0.00449,0.0,35.27,0
438,43.8,100.0,-0.00274,0.0,35.21,0
439,43.9,100.0,-0.00053,0.0,35.39,0
440,44.0,100.0,0.00064,0.0,35.39,0
441,44.1,100.0,0.00162,0.0,35.39,0
442,44.2,100.0,0.00056,0.0,35.46,0
443,44.3,100.0,0.00422,0.0,35.47,0
444,44.4,100.0,0.0042,0.0,35.46,0
445,44.5,100.0,0.00445,0.0,35.54,0
446,44.6,100.0,0.00395,0.0,35.6,0
447,44.7,100.0,0.0032,0.0,35.65,0
448,44.8,99.01,0.00228,0.0,35.78,0
449,44.9,99.76,0.00108,0.0,35.72,0
450,45.0,100.0,0.00353,0.0,35.73,0
451,45.1,100.0,0.00153,0.0,35.74,0
452,45.2,100.0,0.0019,0.0,35.75,0
453,45.3,100.0,0.001,0.0,35.74,0
454,45.4,100.0,0.00261,0.0,35.75,0
455,45.5,100.0,0.00147,0.0,35.65,0
456,45.6,100.0,0.00329,0.0,35.63,0
457,45.7,100.0,0.00461,0.0,35.59,0
458,45.8,94.44,0.00579,0.0,35.52,0
459,45.9,97.08,0.00537,0.0,35.5,0
460,46.0,92.63,0.00702,0.0,35.5,0
461,46.1,94.11,0.00628,0.0,35.41,0
462,46.2,94.0,0.00577,0.0,35.38,0
463,46.3,100.0,0.0075,0.0,35.39,0
464,46.4,95.81,0.00793,0.0,35.36,0
465,46.5,98.09,0.00664,0.0,35.36,0
466,46.6,100.0,0.00631,0.0,35.49,0
467,46.7,96.14,0.00885,0.0,35.47,0
468,46.8,92.88,0.0067,0.0,35.52,0
469,46.9,92.14,0.00795,0.0,35.64,0
470,47.0,100.0,0.00447,0.0,35.62,0
471,47.1,92.3,0.00693,0.0,35.64,0
472,47.2,87.58,0.00698,0.0,35.67,0
473,47.3,96.3,0.0063,0.0,35.73,0
474,47.4,93.74,0.00683,0.0,35.82,0
475,47.5,93.94,0.00667,0.0,35.67,0
476,47.6,100.0,0.00558,0.0,35.65,0
477,47.7,96.94,0.00563,0.0,35.78,0
478,47.8,97.01,0.00426,0.0,35.78,0
479,47.9,99.22,0.00112,0.0,35.8,0
480,48.0,99.61,-0.00061,0.0,35.7,0
481,48.1,93.73,-0.00096,0.0,35.68,0
482,48.2,98.3,0.00061,0.0,35.73,0
483,48.3,94.81,0.00017,0.0,35.8,0
484,48.4,92.68,0.00149,0.0,35.8,0
485,48.5,86.04,0.00261,0.0,35.76,0
486,48.6,80.53,0.00347,0.0,35.8,0
487,48.7,85.29,0.00303,0.0,35.75,0
488,48.8,93.98,0.00277,0.0,35.89,0
489,48.9,100.0,0.00305,0.0,35.9,0
490,49.0,98.66,0.00524,0.0,35.88,0
491,49.1,98.8,0.00595,0.0,35.9,0
492,49.2,100.0,0.00567,0.0,35.92,0
493,49.3,100.0,0.00561,0.0,36.02,0
494,49.4,100.0,0.0048,0.0,36.04,0
495,49.5,100.0,0.00466,0.0,36.09,0
496,49.6,99.54,0.00167,0.0,36.13,0
497,49.7,99.2,0.00012,0.0,36.08,0
498,49.8,100.0,0.00193,0.0,36.17,0
499,49.9,100.0,0.00315,0.0,36.21,0
